49	mp_raid	0x5190	0
54	skinnedverts	0x5234	2
42	mp/configstrings/configstrings_mp_raid.csv	0x5250	3
6	gfx_fxt_smk_whisp_spiral_z120	0xe585c
8	,fxt_smk_def_3	0xe60d8
6	gfx_fxt_smk_def_3_z120	0xe6048
33		0xe4548	163
33		0xe6258	164
8	,fxt_env_water_ripple	0xe78f8
6	gfx_fxt_env_water_ripple_add	0xe7860
6	,gfx_fxt_env_water_foam2	0xe82d0
33		0xe73bc	165
33		0xe8354	166
8	,fxt_light_incandescent	0xeaf3c
6	gfx_fxt_light_incandescent_eo20	0xeaea4
6	,gfx_fxt_light_hot_add_z0_eo40	0xeb308
33		0xea540	167
8	fxt_light_ray_solid	0xebfb4
6	gfx_fxt_light_ray_solid_gr	0xebf20
33		0xebc90	168
7	,effect_26z423jf	0xf2198	169
7	effect_5e098749	0xf2234	170
6	,gfx_fxt_light_glow_square_gr	0xf30a8
8	,fxt_light_ray_search	0xf32ec
6	gfx_fxt_light_ray_search_z3_nocull	0xf3250
6	gfx_fxt_light_ray_spread_no_cull_z5	0xf35f8
33		0xf2988	171
6	gfx_fxt_light_ray_spread_no_gr_z0	0xf3bf8
33		0xf3968	172
33		0xf3ca0	173
7	sw4_3d_superflare_mp_raid_sun1_4fw3j711	0xf3f30	174
8	,~sprites_flare_mp_red-r&sprit~a14528f4	0xf6dc4
8	,screen_sparkle2_mp	0xf6f34
8	sw_radiant_default	0xf7090
6	gfx_fxt_superflare_mp_raid_sun1	0xf6d0c
33		0xf6a7c	175
7	effect_j68f8w3z	0xf7238	176
6	,gfx_fxt_env_water_ripple	0xf80b8
8	fxt_env_water_foam	0xf86ac
6	gfx_fxt_env_water_foam	0xf861c
6	,gfx_fxt_env_water_splash2_z10	0x150a80
8	,fxt_smk_light	0x150e68
6	gfx_fxt_smk_light_z0	0x150dd8
8	,fxt_env_water_splash2	0x1512d4
6	gfx_fxt_env_water_splash2_ds64_sadd	0x151238
33		0xf76f8	177
7	mc_skycubemaphdr_1f117w7u	0x151488	178
8	skybox_mp_overflow_ft	0x155d2c
6	mc/mtl_skybox_mp_raid	0x155c9c
5	skybox_mp_raid	0x1523d4
5	skybox_mp_raid	0x1523d4	179
41	vision/mp_raid.vision	0x2d5fe8	180
48	maps/mp/createart/mp_raid_art.gsc	0x2d6524	181
7	,mc_lit_sm_r0c0n0x0_q361191u	0x2d6afc	182
7	,mc_lit_sm_t0c0s0_8229f6jf	0x2d6ba4	183
8	~~-gfoliage_dub_potted_spikey~980de041	0x2ee1d8
8	~-gfoliage_dub_potted_spikey_plant_col	0x2ee348
6	mc/mtl_foliage_dub_potted_spikey_plant	0x2ee118
8	ny_harbor_planter_nml	0x2ee59c
8	~~-gny_harbor_planter_col-rgb~25fce68f	0x2ee6fc
6	mc/mtl_ny_harbor_planter	0x2ee4f8
8	dub_lobby_pillar_lower_base_01_nml	0x2ee934
8	~~-gdub_lobby_pillar_lower_ba~ba8e3f5e	0x2eeaa0
6	mc/mtl_dub_lobby_pillar_lower_base	0x2ee888
5	foliage_dub_potted_spikey_plant	0x2d6c48
5	foliage_dub_potted_spikey_plant	0x2d6c48	184
7	mc_treecanopy_1e862q77	0x2eed24	185
8	p6_plant_cactus_star_med_01_n	0x31bb64
8	~-gp6_plant_cactus_star_med_01_c	0x31bccc
6	mc/mtl_p6_plant_cactus_star_med_01	0x31bab8
5	p6_plant_cactus_star_med_02	0x300b4c
5	p6_plant_cactus_star_med_02	0x300b4c	186
5	p6_plant_cactus_star_med_01	0x31bf38
5	p6_plant_cactus_star_med_01	0x31bf38	187
7	mc_lit_sm_r0c0n0s0_zqq1fze7	0x33be44	188
8	~~-gma_patio_heater_spc_2_cle~b87806f8	0x363310
8	ma_patio_heater_nml_2_clean	0x363480
8	~-gma_patio_heater_clean_col	0x3635e4
6	mc/mtl_patio_heater_clean	0x36325c
5	ma_patio_heater_clean	0x359d00
5	ma_patio_heater_clean	0x359d00	189
7	mlv_lit_sm_r0c0n0_3qf192ew	0x3637e4	190
7	mlv_sw4_3d_cod7_tile_blend_spec_w8wezqe6	0x37c5a8	191
8	p6_cliffside_01_n	0x3b0e80
8	~rock_detail_g-r&~-grock_detail_s-rgb	0x3b0fdc
8	~rock_detail_dark_g-r&~-grock~e23d2ea8	0x3b114c
8	~-grock_detail_dark_c	0x3b12bc
8	rock_detail_n	0x3b141c
8	rock_detail_dark_n	0x3b1574
8	~-grock_detail_c	0x3b16d0
8	p6_cliffside_01_ao	0x3b182c
6	mlv/mtl_p6_rocks_cliffside_01	0x3b0d78
8	~-gp6_cliffside_01_c	0x3b1b38
6	mlv/mtl_p6_rocks_cliffside_01_simple	0x3b1a88
5	mlv/p6_rocks_cliffside_01	0x39f260
5	mlv/p6_rocks_cliffside_01	0x39f260	192
7	mc_lit_sm_r0c0d0n0_33ffej1u	0x3b1d10	193
8	pb_rock_01_nml	0x3d4b2c
8	~-gpb_rock_01_col	0x3d4c84
8	detail_map_rock_bumps_n	0x3d4de0
